id,speechtime,wordcount,segmentcount,videoduration
07670,294.2699999999999,189,25,299
07671,181.41,13,2,187
07672,522.4199999999998,623,29,537
07673,281.76,5,1,284
07674,1592.88,162,40,1954
07675,280.92,14,2,285
07676,189.57,7,2,224
07677,109.50000000000003,27,10,207
07678,480.30000000000007,278,49,651
07679,291.38999999999993,50,14,1826
07680,224.7,35,4,233
07681,307.59,434,1,312
07682,316.41,2,1,345
07683,352.32000000000005,176,29,508
07684,185.31,128,1,192
07685,255.56999999999994,691,55,289
07686,194.16,6,1,203
07687,216.95999999999995,224,21,228
07688,273.17999999999995,28,2,275
07689,153.20999999999998,283,13,181
07690,2287.05,134,4,2317
07691,798.4499999999999,113,15,867
07692,27.449999999999974,26,12,409
07693,92.28,16,6,191
07694,248.91,516,31,267
07695,355.59000000000003,7,1,362
07696,2060.550000000001,324,38,2188
07697,297.45000000000005,560,5,318
07698,3235.56,18,1,3256
07699,470.28,28,2,486
07700,1029.7200000000003,405,37,1046
07701,475.6800000000001,1034,34,560
07702,1411.9200000000012,1023,124,1474
07703,341.7300000000001,70,6,370
07704,585.27,23,1,592
07705,1756.32,2721,238,1900
07706,209.07,23,3,226
07707,1374.21,37,1,1378
07708,1177.8900000000017,468,168,1613
07709,389.18999999999994,7,2,391
07710,370.56,16,3,382
07711,266.91,8,1,267
07712,2329.919999999999,185,86,2732
07713,313.02000000000004,148,14,353
07714,546.0,89,19,599
07715,1625.6100000000001,58,3,1693
07716,271.71,124,2,282
07717,348.6000000000001,240,23,370
07718,351.87,2,1,398
07719,244.77,142,4,252
07720,396.9299999999999,757,29,425
07721,302.79,47,1,308
07722,353.25,15,1,353
07723,168.24000000000004,171,4,213
07724,310.59000000000003,6,1,418
07725,176.37,15,1,181
07726,431.34000000000003,34,12,670
07727,828.84,26,2,835
07728,254.43,127,26,448
07729,439.83000000000004,33,7,449
07730,239.16,15,1,248
07731,233.28,36,1,239
07732,1707.12,1828,20,1744
07733,222.99,27,6,257
07734,224.10000000000002,62,9,246
07735,264.03000000000003,118,12,296
07736,199.98,195,17,236
07737,219.39,11,2,222
07738,291.2699999999999,443,41,328
07739,233.88,4,1,237
07740,728.9099999999999,829,80,793
07741,179.60999999999999,9,1,180
07742,188.49,20,1,189
07743,254.31,10,1,262
07744,202.07999999999998,8,1,210
07745,335.7,23,10,397
07746,279.33,16,1,281
07747,100.13999999999999,13,2,205
07748,72.57000000000001,21,10,188
07749,204.96,643,3,220
07750,222.23999999999998,34,2,227
07751,1692.960000000001,2832,148,1765
07752,199.07999999999998,35,1,200
07753,424.02,19,6,478
07754,2675.0700000000024,2483,224,2804
07755,278.46000000000004,655,54,320
07756,1871.9700000000003,4532,274,2105
07757,423.68999999999994,20,4,428
07758,216.47999999999996,182,30,229
07759,2642.100000000001,1737,86,2670
07760,658.1399999999999,1665,19,663
07761,356.94,14,1,365
07762,223.86,20,6,258
07763,253.41,9,1,258
07764,219.48000000000002,21,3,220
07765,244.38,9,1,251
07766,501.05999999999995,257,15,533
07767,355.20000000000005,65,3,364
07768,325.11,141,3,327
07769,290.28000000000003,11,4,339
07770,310.67999999999995,241,28,343
07771,161.76,5,1,193
07772,374.07,26,1,374
07773,282.84,15,1,313
07774,178.38,202,5,194
07775,338.79,733,16,378
07776,528.2100000000002,730,55,612
07777,555.4799999999999,699,143,718
07778,212.52,11,4,219
07779,671.6999999999999,1555,53,721
07780,586.83,528,26,598
07781,362.19000000000005,15,3,378
07782,179.91,5,1,219
07783,377.1,79,7,382
07784,187.23,43,5,196
07785,311.43,13,5,358
07786,203.97,9,1,209
07787,379.3800000000003,51,22,677
07788,355.74,4,1,358
07789,338.78999999999996,13,2,342
07790,198.72,3,1,203
07791,340.11,16,1,340
07792,610.29,119,6,632
07793,197.88,24,1,198
07794,1554.0599999999984,3118,412,1906
07795,300.4799999999999,584,52,529
07796,692.1000000000001,175,29,723
07797,418.02000000000004,573,13,423
07798,180.29999999999998,30,5,186
07799,163.2,20,8,267
07800,143.58,16,7,183
07801,322.16999999999996,174,1,324
07802,1739.0999999999997,4076,70,1769
07803,310.77,11,2,312
07804,184.92,362,1,187
07805,411.21,19,1,414
07806,765.3299999999999,572,16,768
07807,235.44,6,1,244
07808,582.03,115,13,602
07809,894.2999999999998,164,11,940
07810,295.59000000000003,225,11,301
07811,186.96,373,32,209
07812,732.9600000000002,722,89,1171
07813,185.96999999999997,259,3,205
07814,347.25,145,4,350
07815,187.20000000000002,48,4,193
07816,168.21,17,7,230
07817,221.37000000000006,40,16,248
07818,203.39999999999998,10,4,208
07819,227.81999999999996,17,8,248
07820,497.0700000000001,1027,28,528
07821,386.4,16,1,408
07822,199.71,19,2,200
07823,271.95000000000005,32,1,273
07824,361.95,4,2,412
07825,195.96,8,1,200
07826,450.11999999999995,15,5,543
07827,842.2200000000004,39,16,956
07828,248.67000000000002,3,1,249
07829,900.6,517,91,1010
07830,313.8,27,1,325
07831,402.84000000000003,627,59,491
07832,379.1999999999999,1033,20,387
07833,555.9,235,17,594
07834,404.13,24,7,479
07835,234.30000000000004,210,18,246
07836,203.4,24,1,213
07837,204.78000000000003,91,12,214
07838,314.67,4,2,384
07839,395.1900000000002,946,61,450
07840,183.17999999999998,7,1,235
07841,900.4199999999997,2282,87,941
07842,192.0,24,1,230
07843,101.16000000000004,25,10,384
07844,862.9500000000002,100,4,869
07845,271.26,18,2,275
07846,115.71000000000016,149,27,394
07847,99.56999999999992,206,35,282
07848,82.07999999999998,6,3,180
07849,209.22,10,1,209
07850,910.98,9,2,970
07851,429.54,28,1,454
07852,422.76000000000005,6,1,427
07853,381.81000000000006,24,3,424
07854,255.18,8,1,260
07855,1269.8100000000002,398,47,1386
07856,174.09,131,15,194
07857,336.90000000000003,984,60,374
07858,158.75999999999993,48,18,581
07859,176.82000000000002,59,2,224
07860,348.7500000000001,618,51,452
07861,187.5,5,1,190
07862,289.59000000000003,141,2,292
07863,309.12,12,2,310
07864,224.67000000000002,7,3,255
07865,233.1,7,1,233
07866,479.03999999999996,127,23,673
07867,899.0100000000001,861,109,1043
07868,185.79,11,1,186
07869,334.40999999999997,802,51,355
07870,1174.0800000000008,2016,329,1622
07871,237.32999999999998,12,1,241
07872,158.39999999999998,8,4,274
07873,434.48999999999995,41,3,454
07874,569.7299999999999,60,5,638
07875,172.10999999999999,13,1,188
07876,294.81,2,1,301
07877,233.52000000000007,138,23,310
07878,183.42,10,1,188
07879,185.64000000000001,2,1,198
07880,391.59,17,2,403
07881,178.52999999999997,8,2,209
07882,171.03,27,1,181
07883,177.9,2,1,184
07884,184.20000000000002,410,29,289
07885,743.5799999999999,453,60,832
07886,967.7700000000004,224,38,1135
07887,420.3,11,1,437
07888,318.93,41,1,345
07889,1827.48,3648,83,1864
07890,333.93,489,9,340
07891,214.47,545,5,215
07892,182.28,505,1,190
07893,1200.81,66,2,1201
07894,250.86000000000016,200,25,378
07895,330.71999999999997,135,5,339
07896,238.35000000000002,31,6,240
07897,171.42000000000002,152,10,199
07898,344.34000000000003,177,4,364
07899,195.99000000000004,564,23,225
07900,444.4499999999999,194,27,493
07901,845.1899999999998,33,11,1200
07902,522.54,928,7,549
07903,229.73999999999998,180,4,232
07904,179.91,2,1,181
07905,422.88000000000005,275,21,460
07906,412.83000000000004,550,9,432
07907,832.1400000000002,2033,78,897
07908,206.22,7,2,209
07909,531.3900000000002,1198,39,540
07910,269.42999999999995,9,1,278
07911,307.77,21,1,317
07912,318.63000000000005,97,23,1356
07913,332.79,15,2,349
07914,327.99,147,3,329
07915,288.87,6,2,307
07916,1695.96,413,109,2126
07917,191.27999999999997,528,9,206
07918,263.21999999999997,3,1,268
07919,282.48,11,1,283
07920,4.95,6,1,250
07921,465.0,76,18,497
07922,415.20000000000005,4,2,417
07923,210.93,2,1,246
07924,443.88000000000005,7,1,445
07925,616.47,72,1,622
07926,796.05,2081,32,803
07927,397.10999999999996,248,12,404
07928,210.59999999999997,19,3,245
07929,2015.039999999999,596,105,2383
07930,432.27000000000004,51,16,475
07931,239.85,2,1,247
07932,190.92000000000002,4,2,192
07933,398.73,16,1,400
07934,179.55000000000007,440,38,198
07935,82.44,5,1,222
07936,396.4199999999995,147,50,1159
07937,64.5,45,6,304
07938,215.88,443,5,218
07939,236.4,5,1,236
07940,1109.2199999999998,368,26,1207
07941,1434.78,914,17,1444
07942,233.73,11,1,234
07943,532.6800000000001,101,6,549
07944,170.16000000000003,361,12,180
07946,215.79,11,1,217
07947,564.9000000000001,1387,42,581
07948,301.71,17,3,316
07949,50.31,72,1,183
07950,614.4599999999998,483,43,633
07951,185.97,28,1,191
07952,201.35999999999999,31,1,202
07953,459.72,27,2,475
07954,305.85,271,22,375
07955,264.09,4,2,266
07956,567.9899999999998,1375,48,589
07958,198.60000000000002,26,4,267
07959,219.12,10,4,233
07960,188.82000000000002,357,11,192
07961,408.21000000000004,23,5,430
07962,204.26999999999998,7,1,229
07963,2783.82,6174,317,2920
07964,199.82999999999998,19,6,254
07965,196.2,64,1,199
07966,2862.66,106,2,2881
07967,186.33,26,1,196
07968,354.87,4,1,356
07969,535.4100000000001,1278,13,545
07970,211.20000000000002,20,3,213
07971,252.89999999999998,5,2,254
07972,873.51,806,65,900
07973,29.669999999999998,2,1,424
07974,211.47,456,10,218
07975,31.109999999999992,4,2,205
07976,150.0,123,16,203
07977,516.3000000000001,1281,61,547
07978,690.9,67,23,821
07979,30.78,46,1,247
07981,209.01000000000002,23,3,220
07982,376.62,16,1,384
07983,241.49999999999997,495,5,251
07984,204.08999999999997,36,2,207
07985,238.55999999999995,16,6,350
07986,659.2199999999999,6,3,665
07988,1300.9499999999996,3150,157,1427
07989,211.82999999999998,3,1,226
07990,307.62,70,2,313
07991,96.36,199,13,1088
07992,640.11,5,1,642
07993,333.41999999999996,3,1,341
07994,362.37,126,4,373
07996,251.49,12,2,260
07997,278.13,12,2,285
08000,271.35,334,36,357
08001,231.99,377,4,237
08002,285.3,2,1,287
08004,387.86999999999995,768,27,432
08005,582.9600000000004,514,123,689
08006,258.12,27,1,269
08008,224.87999999999994,421,23,248
08009,213.87,11,2,240
08010,218.55,7,1,246
08011,225.0,12,2,262
08012,680.0999999999999,34,5,687
08013,199.32,4,1,216
08014,314.25000000000034,301,90,746
08015,1052.5500000000013,2730,265,1231
08016,464.49,263,50,728
08017,376.65,2,1,382
08018,359.70000000000005,68,2,380
08019,367.02,6,2,466
08020,256.38,18,2,263
08021,459.15,57,4,504
08022,260.52,33,5,270
08023,120.33000000000001,26,9,268
08024,555.75,2,1,564
08025,252.6,10,1,255
08026,260.7,2,1,267
08027,304.98,6,3,312
08028,316.98,128,2,318
08029,704.4,527,1,705
08031,235.17000000000002,5,2,239
08032,612.7799999999999,1753,38,624
08033,602.3399999999996,1461,62,626
08034,253.38000000000002,365,26,280
08035,963.6000000000004,1232,66,990
08036,442.08000000000015,165,48,1560
08037,359.19,17,1,359
08038,208.17000000000002,89,7,421
08039,218.03999999999996,25,2,225
08040,200.22,5,1,205
08041,216.6,19,1,219
08042,218.16,10,1,222
08043,197.22,6,3,198
08044,221.61,12,1,222
08045,179.54999999999998,111,2,187
08046,909.4200000000001,36,12,952
08047,216.66,5,1,218
08048,278.52000000000004,330,10,297
08049,292.2,144,18,322
08050,115.44000000000001,38,15,193
08051,1519.590000000001,673,105,1591
08052,373.05000000000007,853,90,432
08053,133.01999999999995,19,8,226
08054,325.71,171,1,346
08055,307.86,2,1,310
08056,392.61,29,11,441
08057,398.16,89,30,815
08058,222.35999999999999,5,2,235
08059,148.67999999999998,33,12,232
08060,191.49,7,1,197
08061,216.18,208,4,219
08062,687.06,42,16,722
08063,800.0699999999999,1590,84,916
08064,326.13,26,1,330
08065,296.09999999999985,226,36,548
08066,692.7,151,35,1073
08067,179.04,7,1,180
08068,359.79,12,1,364
08069,762.21,25,1,762
08070,224.13000000000005,46,10,263
08071,84.27000000000001,25,10,198
08072,234.63,14,1,238
08073,952.53,2322,43,961
08074,338.15999999999997,494,40,381
08075,1550.9100000000005,1606,92,1577
08076,386.76,521,102,466
08077,788.4599999999999,46,9,795
08078,558.1800000000001,69,6,572
08079,45.51000000000001,36,2,288
08080,402.27,46,11,444
08081,16.799999999999983,10,5,193
08082,862.44,96,30,1273
08083,190.38000000000002,9,1,214
08084,436.26000000000005,21,1,439
08085,194.76,3,1,198
08086,277.95,24,2,281
08087,512.4300000000001,191,16,525
08088,364.79999999999995,1107,17,367
08089,788.49,9,3,799
08090,968.9099999999999,344,38,1023
08091,231.54000000000008,52,26,415
08092,170.19000000000003,8,1,180
08093,246.66,38,12,259
08094,379.26,146,1,380
08095,532.92,9,1,540
08096,1500.57,75,1,1568
08097,1371.5400000000006,986,94,1486
08098,234.6,491,12,239
08099,209.82000000000002,514,11,227
08100,152.31,7,1,215
08101,147.71999999999997,10,5,215
08102,248.73,4,1,268
08103,1082.5499999999997,464,56,1266
08104,527.4299999999998,580,53,586
08105,773.3699999999999,25,7,804
08106,236.7,77,1,239
08107,328.53,651,9,343
08108,478.41,839,61,593
08109,189.0,570,2,189
08110,275.52,14,2,284
08111,279.21000000000004,64,3,299
08112,209.88,8,1,212
08113,215.55,12,1,218
08114,448.44,11,1,450
08115,311.90999999999997,129,6,359
08116,328.86,87,1,330
08117,806.0699999999998,923,34,826
08118,365.3099999999997,543,79,604
08119,234.51,15,2,240
08120,259.95000000000005,77,4,266
08121,400.1700000000001,43,4,402
08122,213.39000000000004,237,32,293
08123,190.85999999999999,12,4,205
08124,277.8,128,20,298
08125,205.08,13,1,206
08126,283.71000000000004,72,2,314
08127,188.1,2,1,188
08128,319.41,7,2,324
08129,355.65,111,2,364
08130,829.6499999999999,257,34,939
08131,339.23999999999995,41,1,342
08132,255.84,10,1,268
08133,247.08000000000004,127,4,259
08134,430.56,247,7,452
08135,218.85000000000002,5,2,226
08136,211.56,20,1,225
08137,226.83,10,1,276
08138,199.67999999999998,16,1,215
08139,273.0,15,2,279
08140,1017.3299999999999,353,20,1030
08141,185.58,13,1,186
08142,417.72,17,1,431
08143,232.98,22,2,239
08144,243.12,15,4,247
08145,191.19,101,5,211
08146,312.0,9,2,321
08147,223.89000000000001,31,1,228
08148,241.62,16,1,242
08149,1431.7800000000009,2225,272,1702
08150,181.23,18,1,186
08151,565.05,180,22,622
08152,196.10999999999999,30,4,198
08153,626.67,21,10,634
08154,416.66999999999996,5,2,417
08156,196.71,8,1,203
08157,222.9,26,4,229
08158,361.83000000000004,7,1,363
08159,176.49,19,1,195
08160,1382.8200000000002,431,105,1575
08161,198.75,117,2,202
08162,182.33999999999997,404,25,223
08163,220.26,28,7,236
08164,215.46,12,5,217
08165,1285.5000000000002,2136,16,1289
08166,172.11,207,38,197
08167,169.02,13,3,200
08168,296.43,4,2,335
08169,266.31000000000006,241,9,321
08170,195.60000000000002,23,11,240
08171,565.5600000000001,1396,34,583
08172,241.86,14,1,242
08173,323.70000000000005,9,1,349
08174,576.3599999999999,225,18,649
08175,162.60000000000002,4,2,187
08176,222.18,65,3,237
08177,337.34999999999985,309,43,361
08178,188.91,17,1,195
08179,191.28000000000003,34,13,293
08180,241.76999999999998,17,3,265
08181,559.2300000000002,430,74,621
08182,234.81,13,3,243
08183,320.46000000000004,610,15,342
08184,252.45,11,3,263
08185,153.87,2,1,204
08186,737.19,827,10,743
08187,205.37999999999997,15,5,259
08188,111.89999999999979,40,8,657
08189,183.42,115,3,191
08190,184.5,28,2,187
08191,318.75,3,1,327
08192,459.45,11,3,464
08193,196.2,10,1,199
08194,325.23,863,1,330
08195,84.54000000000003,9,3,369
08196,226.92000000000002,3,1,310
08197,2945.730000000001,788,170,3340
08198,326.04,777,1,328
08199,149.76000000000002,15,6,208
08200,733.6200000000006,866,199,940
08201,160.01999999999998,7,2,183
08202,313.85999999999996,402,7,318
08203,452.13000000000005,539,76,517
08204,239.3400000000001,355,49,292
08205,355.44,479,5,357
08206,3123.66,856,11,3129
08207,371.31,143,11,396
08208,443.13,8,4,445
08209,403.77000000000004,9,1,405
08210,1302.8399999999997,488,19,1317
08211,351.23999999999995,124,6,358
08212,195.56999999999996,288,17,269
08213,303.48,9,3,309
08215,316.23,524,1,318
08216,178.40999999999997,202,22,189
08217,217.07999999999998,173,4,231
08218,752.8800000000001,555,90,809
08219,2595.84,2506,264,2688
08220,520.29,28,4,523
08221,1311.2099999999991,1228,133,1541
08222,769.2,24,1,769
08223,1.349999999999966,2,1,459
08224,222.71999999999997,27,3,235
08225,189.35999999999999,66,3,190
08226,148.89000000000001,65,24,199
08227,51.23999999999999,13,4,237
08228,463.40999999999997,23,2,466
08229,203.34,19,1,215
08230,182.76,24,1,183
08231,714.5399999999998,1657,92,782
08232,300.18,339,11,313
08233,597.0600000000001,538,68,772
08234,207.0,4,2,213
08235,172.67999999999998,36,12,218
08236,139.77,24,9,195
08237,217.95,32,1,223
08238,144.92999999999998,3,1,376
08239,141.99000000000018,132,33,370
08240,1920.2399999999998,1440,81,1968
08241,190.29,3,1,206
08242,176.73,57,5,181
08243,191.22000000000003,320,12,197
08244,287.76,151,2,295
08245,1331.3700000000001,868,92,1375
08246,1095.24,2725,89,1136
08247,212.60999999999999,122,13,240
08248,367.65000000000003,91,30,560
08249,271.67999999999995,50,9,282
08250,188.61,155,22,204
08251,1027.5,102,8,1080
08252,236.55,12,5,312
08253,1399.41,45,1,1399
08254,241.20000000000002,18,2,244
08255,225.14999999999998,15,1,226
08256,175.14,6,1,185
08257,204.63,36,4,206
08258,406.5,70,5,421
08259,214.95000000000002,6,1,222
08260,293.70000000000005,10,1,312
08261,373.77,208,23,401
08262,225.3,15,1,230
08263,370.35,402,56,558
08264,278.9999999999999,19,7,310
08265,419.97,25,1,432
08266,508.19999999999993,53,20,595
08267,225.0,10,2,238
08268,1045.350000000001,2272,153,1144
08269,211.07999999999998,105,5,212
08270,217.29000000000002,303,9,221
08271,605.49,25,2,607
08272,352.77,23,5,384
08273,198.24,3,1,205
08274,399.21000000000004,534,25,447
08276,708.4499999999999,135,7,729
08277,202.71,10,1,204
08278,367.14,5,2,413
08279,3005.7900000000004,6140,314,3156
08280,465.24,41,2,470
08281,629.61,340,17,645
08282,245.19,179,17,264
08283,270.24,5,1,351
08284,660.0600000000001,31,6,717
08285,269.01,6,2,270
08286,212.25,7,1,212
08287,177.81,3,1,180
08288,177.27,197,20,253
08289,301.10999999999996,357,31,314
08290,191.4,249,20,210
08291,372.84,52,1,373
08292,208.47,19,2,219
08293,179.79000000000002,6,2,234
08294,423.99,142,35,475
08295,247.95000000000007,35,14,320
08296,193.61999999999995,98,14,212
08297,211.58999999999997,13,3,218
08298,251.09999999999988,22,11,358
08299,354.12,5,1,354
08300,792.75,1792,41,812
08301,847.0800000000002,30,9,877
08302,1667.5800000000017,4205,428,1923
08303,113.03999999999998,65,23,267
08304,289.46999999999997,155,12,298
08305,373.6500000000001,363,71,587
08306,234.12,24,2,265
08307,399.45,19,2,404
08308,1268.0700000000006,1617,194,1548
08309,212.73000000000002,18,2,220
08310,155.28,9,3,231
08311,348.78,130,1,360
08312,269.43,11,1,271
08313,329.49,7,1,330
08314,179.79000000000002,17,6,183
08315,929.5799999999997,1494,66,946
08316,202.65,83,7,220
08317,759.8399999999997,696,54,772
08318,716.1600000000001,578,21,734
08319,1188.7500000000002,1159,175,1292
08320,394.71000000000004,135,26,483
08321,304.14,5,2,307
08322,212.58,8,1,216
08323,421.62,132,2,425
08324,144.57000000000005,59,22,219
08325,184.5,6,1,191
08326,339.99,32,5,350
08327,303.75,37,5,310
08328,284.31,29,5,303
08329,255.60000000000002,10,1,260
08330,374.37,17,3,379
08331,806.94,15,2,810
08332,204.12,8,1,205
08333,604.1099999999999,97,42,928
08334,378.1199999999999,570,45,423
08335,223.56,7,1,229
08336,314.76,255,17,332
08337,547.53,102,6,548
08338,462.78000000000003,319,22,589
08339,367.31999999999994,67,8,393
08340,212.97,10,1,214
08341,352.61999999999995,699,7,365
08342,513.96,84,7,546
08343,231.81,11,1,234
08344,232.59,13,1,239
08345,351.5100000000001,67,13,435
08346,388.89,73,10,415
08347,1281.63,59,1,1282
08348,175.5,14,3,182
08349,315.78,200,11,320
08350,147.47999999999996,19,8,215
08351,119.46000000000001,29,12,210
08352,297.09000000000003,145,19,316
08353,370.79999999999995,14,2,383
08354,599.28,157,11,602
08355,369.3,151,14,405
08356,397.59000000000003,93,6,413
08357,254.88,11,5,264
08358,332.88,19,1,334
08359,227.16,119,1,228
08360,164.51999999999998,11,3,192
08361,377.43,11,1,378
08362,102.15000000000002,31,15,263
08363,21.84,2,1,288
08364,267.00000000000006,418,26,278
08365,53.399999999999984,9,4,385
08366,203.04000000000002,397,1,220
08367,778.1100000000001,134,53,1042
08368,514.6500000000001,516,3,518
08369,254.52,18,1,256
08370,154.35,76,13,180
08371,279.72,495,12,299
08372,455.69999999999993,1051,18,491
08373,320.25,18,1,336
08374,1633.56,2190,50,1680
08375,149.46,5,1,182
08376,320.7300000000001,495,6,340
08377,326.76,254,9,349
08378,155.13000000000002,156,23,207
08379,1303.56,89,6,1314
08380,202.23,48,1,204
08381,138.72,36,12,215
08382,324.84,13,3,344
08383,627.6600000000001,1459,115,700
08384,390.92999999999995,905,69,436
08385,212.85,11,2,216
08386,156.89999999999995,73,27,262
08387,366.15000000000003,327,55,442
08388,245.46,6,2,251
08389,230.24999999999994,203,21,239
08390,263.16,14,2,266
08391,1763.97,97,3,1814
08392,203.01,11,2,207
08393,194.1,3,1,194
08394,297.68999999999994,34,3,301
08395,216.06,29,1,216
08396,193.38,2,1,195
08397,240.12,17,1,251
08398,213.39000000000001,34,1,236
08399,242.10000000000002,583,25,275
08400,263.99999999999994,13,3,280
08401,251.43,9,2,255
08402,207.42000000000002,8,1,228
08403,324.84,13,3,332
08404,173.91000000000003,9,1,198
08405,481.0799999999999,1000,31,504
08406,288.48,68,2,306
08408,364.5,7,1,367
08409,473.07000000000005,77,12,510
08410,809.4299999999996,295,27,858
08411,254.46,30,3,257
